,len,non,rate,snp_freq,stop,syn
bin_7_00031,1161,7,0.99246436823865825,0.029285099052540915,False,27
bin_7_00032,1233,21,0.98767078094015626,0.07623682076236821,False,73
bin_7_00033,405,2,0.99200517565168267,0.044444444444444446,False,16
bin_7_00034,822,3,0.99208534918835034,0.024330900243309004,False,17
bin_7_00035,333,0,0.99513409235104622,0.0,False,0
bin_7_00036,327,7,0.97598127614320729,0.0764525993883792,False,18
bin_7_00037,918,9,0.98198650085602179,0.0664488017429194,False,52
bin_7_00038,414,2,0.99259627830801378,0.021739130434782608,False,7
bin_7_00039,846,9,0.98989870668827884,0.06264775413711583,False,44
bin_7_00040,1002,0,0.99539940823596695,0.0029940119760479044,False,3
bin_7_00041,1218,3,0.99411001857857617,0.019704433497536946,False,21
bin_7_00042,492,2,0.99434561197362725,0.024390243902439025,False,10
bin_7_00043,951,3,0.99274599796919094,0.025236593059936908,False,21
bin_7_00044,624,2,0.9931905530000541,0.030448717948717948,False,17
bin_7_00045,498,0,0.99647454798745627,0.0,False,0
bin_7_00046,1227,0,0.99674105754029774,0.0,False,0
bin_7_00047,600,0,0.99605072781531856,0.006666666666666667,False,4
bin_7_00048,702,1,0.99507470638269091,0.014245014245014245,False,9
bin_7_00049,987,2,0.99395860482268994,0.0070921985815602835,False,5
bin_7_00050,900,0,0.99332747552538436,0.027777777777777776,False,25
bin_7_00051,489,0,0.99523153990811886,0.002044989775051125,False,1
bin_7_00052,1431,3,0.99398349754568549,0.02236198462613557,False,29
bin_7_00053,429,0,0.99578954543363585,0.006993006993006993,False,3
bin_7_00054,1221,3,0.99396480657698361,0.022113022113022112,False,24
bin_7_00055,204,1,0.99572176975539384,0.004901960784313725,False,0
bin_7_00056,1221,0,0.99437898506024247,0.013104013104013105,False,16
bin_7_00057,708,0,0.9950889613374152,0.0,False,0
bin_7_00058,1734,2,0.99429033639628406,0.006343713956170703,False,9
bin_7_00059,771,3,0.99182888798739088,0.04539559014267185,False,32
bin_7_00060,213,0,0.99658553125936267,0.0,False,0
bin_7_00061,633,2,0.99396061052084062,0.00315955766192733,False,0
bin_7_00062,1359,2,0.99354511813099755,0.009565857247976454,False,11
bin_7_00063,1893,2,0.99570454962466726,0.003169572107765452,False,4
bin_7_00065,708,4,0.9858473151342585,0.018361581920903956,False,9
bin_7_00066,735,3,0.99433745199681944,0.009523809523809525,False,4
bin_7_00067,414,10,0.98843270422362062,0.057971014492753624,False,14
bin_7_00068,315,0,0.99377512838232052,0.009523809523809525,False,3
bin_7_00069,297,0,0.99576450017246076,0.0,False,0
bin_7_00070,438,0,0.99527407190352268,0.0045662100456621,False,2
bin_7_00071,585,8,0.9899683021066541,0.02735042735042735,False,8
bin_7_00072,444,1,0.99400980977527131,0.01126126126126126,False,4
bin_7_00073,633,1,0.99518663288105458,0.020537124802527645,False,12
bin_7_00074,660,1,0.9937754561210268,0.00909090909090909,False,5
bin_7_00075,648,0,0.99496045561900914,0.010802469135802469,False,7
bin_7_00077,2670,5,0.99387667958585724,0.00749063670411985,False,15
bin_7_00078,408,0,0.99533245098212808,0.0,False,0
bin_7_00079,846,1,0.99371973395283064,0.010638297872340425,False,8
bin_7_00080,1140,0,0.99618160045293724,0.0,False,0
bin_7_00082,1668,11,0.99321000551186911,0.02038369304556355,False,23
bin_7_00083,1662,0,0.99511387224832437,0.011432009626955475,False,19
bin_7_00084,381,0,0.99574398329842628,0.0,False,0
bin_7_00085,531,0,0.99508083046836815,0.0018832391713747645,False,1
bin_7_00086,174,0,0.9948448806828355,0.011494252873563218,False,2
bin_7_00087,2538,7,0.99338330822847942,0.029156816390858944,False,67
bin_7_00089,456,2,0.99273512450957913,0.039473684210526314,False,16
bin_7_00090,639,1,0.99469197636710516,0.014084507042253521,False,8
bin_7_00091,1092,1,0.99502878779694481,0.011904761904761904,False,12
bin_7_00094,612,1,0.99382812964752165,0.006535947712418301,False,3
bin_7_00095,648,4,0.99390143223342398,0.027777777777777776,False,14
bin_7_00096,648,1,0.99544658572486633,0.006172839506172839,False,3
bin_7_00097,1434,1,0.99465988903380653,0.009762900976290097,False,13
bin_7_00098,891,1,0.99363236608950445,0.013468013468013467,False,11
bin_7_00099,582,6,0.99371296455875302,0.027491408934707903,False,10
bin_7_00100,450,5,0.9931990694164996,0.04888888888888889,False,17
bin_7_00101,858,9,0.99166388815137441,0.05128205128205128,False,35
bin_7_00102,600,1,0.99064176325256614,0.045,False,26
bin_7_00103,618,0,0.99572279032737254,0.0,False,0
bin_7_00104,351,0,0.99526851305451758,0.0,False,0
bin_7_00106,345,2,0.99399601724616271,0.02608695652173913,False,7
bin_7_00107,888,4,0.99383050758499158,0.009009009009009009,False,4
bin_7_00108,678,0,0.99652530890602553,0.0,False,0
bin_7_00109,129,0,0.99678236647592622,0.0,False,0
bin_7_00112,1212,3,0.9944530782500266,0.010726072607260726,False,10
bin_7_00113,1086,4,0.99284429612719372,0.02117863720073665,False,19
bin_7_00114,918,4,0.99466778292981561,0.006535947712418301,False,2
bin_7_00115,981,0,0.99613308372821963,0.0,False,0
bin_7_00116,378,5,0.99459328512320078,0.021164021164021163,False,3
bin_7_00117,246,1,0.99478136243033566,0.0040650406504065045,False,0
bin_7_00118,540,2,0.99441451763533117,0.007407407407407408,False,2
bin_7_00119,771,0,0.99638255309061263,0.0,False,0
bin_7_00121,999,0,0.99602367852054396,0.0,False,0
bin_7_00122,1773,0,0.99621210984349418,0.0,False,0
bin_7_00123,999,0,0.99622063362952473,0.0,False,0
bin_7_00124,1023,0,0.9957517175704268,0.0,False,0
bin_7_00125,978,0,0.9959148928550039,0.0,False,0
bin_7_00126,909,0,0.99278860526419843,0.007700770077007701,False,7
bin_7_00127,651,0,0.99574777898158018,0.0,False,0
bin_7_00128,1029,0,0.99544988856715777,0.0,False,0
bin_7_00129,732,0,0.9951420624537497,0.0,False,0
bin_7_00130,588,0,0.9943195486264027,0.0,False,0
bin_7_00131,213,1,0.99055529737107462,0.004694835680751174,False,0
bin_7_00132,255,0,0.99552724783506941,0.011764705882352941,False,3
bin_7_00133,654,0,0.99485535002416858,0.0,False,0
bin_7_00134,480,0,0.99663192412872326,0.0,False,0
bin_7_00135,252,0,0.99246909111920456,0.0,False,0
bin_7_00136,1590,9,0.99076341958334457,0.01949685534591195,True,22
bin_7_00137,144,2,0.98882528076865861,0.027777777777777776,False,2
bin_7_00138,843,17,0.98777514486231233,0.033214709371293,True,11
bin_7_00139,459,1,0.99552349427263254,0.002178649237472767,False,0
bin_7_00140,675,0,0.99455181694977002,0.0,False,0
bin_7_00141,534,1,0.99621127967706924,0.003745318352059925,False,1
bin_7_00142,585,1,0.99624047882314171,0.003418803418803419,False,1
bin_7_00143,432,0,0.99484038550373399,0.009259259259259259,False,4
bin_7_00144,354,0,0.99606009642511828,0.0,False,0
bin_7_00145,1296,2,0.99403708490207454,0.0038580246913580245,False,3
bin_7_00146,705,2,0.9957235168535945,0.0070921985815602835,False,3
bin_7_00147,717,0,0.99517573221646938,0.0,False,0
bin_7_00148,1173,0,0.99543517264946291,0.004262574595055414,False,5
bin_7_00149,900,1,0.99554062459095005,0.006666666666666667,False,5
bin_7_00150,321,0,0.99614814236980165,0.0,False,0
bin_7_00151,1110,0,0.99646150252089649,0.0,False,0
bin_7_00152,837,0,0.99565879257272005,0.0,False,0
bin_7_00153,1092,0,0.99557230396249541,0.0,False,0
bin_7_00154,219,0,0.9956981883399133,0.0,False,0
bin_7_00155,1506,3,0.9845666352056095,0.035856573705179286,False,51
bin_7_00156,1515,6,0.98389434345923932,0.034323432343234324,False,46
bin_7_00157,768,2,0.98787465331306334,0.01953125,False,13
bin_7_00158,1224,1,0.97359254041690091,0.06372549019607843,False,77
bin_7_00159,423,0,0.99664408352619294,0.0,False,0
bin_7_00160,639,0,0.99598383106859412,0.0,False,0
bin_7_00161,864,0,0.99518663689137354,0.0,False,0
bin_7_00162,1068,14,0.99148959058291819,0.019662921348314606,True,7
bin_7_00163,1482,1,0.99058656762231667,0.029014844804318488,False,42
bin_7_00164,903,0,0.99502230067523623,0.005537098560354375,False,5
bin_7_00165,615,1,0.99229633723154764,0.026016260162601626,False,15
bin_7_00166,495,29,0.98018762688422589,0.09292929292929293,False,17
bin_7_00167,1815,2,0.99349380887062877,0.01046831955922865,False,17
bin_7_00168,873,1,0.99364799709581286,0.01718213058419244,False,14
bin_7_00169,990,0,0.99623466060197474,0.0,False,0
bin_7_00170,552,15,0.9861093031786452,0.04891304347826087,False,12
bin_7_00173,723,0,0.9947575028710024,0.0,False,0
bin_7_00174,297,0,0.99646396034035634,0.0,False,0
bin_7_00175,855,0,0.99634063579444909,0.0,False,0
bin_7_00176,1038,0,0.99629221430149084,0.0,False,0
bin_7_00177,864,25,0.98944518202373577,0.03819444444444445,True,8
bin_7_00178,972,0,0.99618936277405667,0.0,False,0
bin_7_00179,1434,11,0.9941691143881618,0.010460251046025104,True,4
bin_7_00180,921,0,0.99557511953909161,0.0,False,0
bin_7_00181,1128,0,0.99558563396773325,0.0,False,0
bin_7_00182,1254,1,0.99514349668644231,0.0007974481658692185,False,0
bin_7_00183,720,0,0.99671585214732772,0.0,False,0
bin_7_00184,753,1,0.99490073627932296,0.00796812749003984,False,5
bin_7_00185,369,0,0.9952229176194427,0.0,False,0
bin_7_00186,384,1,0.99324923830353284,0.0234375,False,8
bin_7_00187,2319,2,0.99387490236059461,0.02112979732643381,False,47
bin_7_00188,1086,4,0.98752663352926517,0.02394106813996317,False,22
bin_7_00189,285,0,0.99670452230316109,0.0,False,0
bin_7_00190,1191,3,0.99448284888267746,0.019311502938706968,False,20
bin_7_00191,1269,0,0.99639845612330846,0.0,False,0
bin_7_00192,918,1,0.99583764967474686,0.0010893246187363835,False,0
bin_7_00193,846,0,0.99627813050827108,0.0,False,0
bin_7_00194,1116,0,0.99637657067270868,0.0008960573476702509,False,1
bin_7_00195,1587,0,0.99660286290635158,0.000630119722747322,False,1
bin_7_00196,2235,0,0.99576240862265541,0.0,False,0
bin_7_00197,1215,6,0.97899608619460132,0.0551440329218107,False,61
bin_7_00198,510,0,0.9891902245318519,0.0196078431372549,False,10
bin_7_00199,405,4,0.99443234965520877,0.03209876543209877,False,9
bin_7_00200,543,4,0.98867749908905811,0.034990791896869246,False,15
bin_7_00201,366,3,0.97768510841177425,0.040983606557377046,False,12
bin_7_00202,885,4,0.97888422551797172,0.04067796610169491,False,32
bin_7_00203,615,3,0.97746790823517604,0.05365853658536585,False,30
bin_7_00204,261,5,0.97911633957639421,0.06130268199233716,False,11
bin_7_00205,342,2,0.9922269137782036,0.023391812865497075,False,6
bin_7_00206,429,1,0.9844519058377863,0.037296037296037296,False,15
bin_7_00207,678,3,0.98361832199320431,0.05014749262536873,False,31
bin_7_00208,333,0,0.99656428989068424,0.0,False,0
bin_7_00209,285,0,0.9954567494495693,0.0,False,0
bin_7_00210,579,0,0.99619163818170753,0.0,False,0
bin_7_00211,387,0,0.99652630136615428,0.0,False,0
bin_7_00212,507,0,0.99576156195397558,0.0,False,0
bin_7_00213,702,6,0.98708205744661592,0.029914529914529916,False,15
bin_7_00214,186,0,0.99522064361578344,0.0,False,0
bin_7_00215,972,1,0.9854250068463607,0.037037037037037035,False,35
bin_7_00216,1827,0,0.99528791365950375,0.0016420361247947454,False,3
bin_7_00218,879,0,0.99298951649012557,0.02957906712172924,False,26
bin_7_00219,240,0,0.99596066437165298,0.0,False,0
bin_7_00220,948,0,0.99625563428790254,0.0,False,0
bin_7_00221,1314,0,0.99534268954274818,0.0,False,0
bin_7_00222,270,0,0.99633894199425577,0.0,False,0
bin_7_00223,1497,3,0.99258497429343662,0.013360053440213761,False,17
bin_7_00224,297,0,0.99534215979131735,0.0,False,0
bin_7_00226,441,0,0.99586238535497507,0.0,False,0
bin_7_00227,585,6,0.99186408527297065,0.013675213675213675,False,2
bin_7_00228,444,0,0.99460633777266816,0.0,False,0
bin_7_00229,633,0,0.99646656270357448,0.0,False,0
bin_7_00230,660,1,0.9948697371352756,0.0015151515151515152,False,0
bin_7_00231,648,0,0.99524956555759925,0.0,False,0
bin_7_00233,2670,1,0.99556074647690074,0.000749063670411985,False,1
bin_7_00234,1929,13,0.98453797466745308,0.03162260238465526,False,48
bin_7_00235,840,2,0.99012641546843161,0.017857142857142856,False,13
bin_7_00236,1281,5,0.98039042324608783,0.047619047619047616,False,56
bin_7_00237,624,2,0.98471084757422289,0.02403846153846154,False,13
bin_7_00238,522,8,0.97740169879177596,0.03639846743295019,False,11
bin_7_00239,159,0,0.99624872230054196,0.0,False,0
bin_7_00240,1125,0,0.9963760344057816,0.0008888888888888889,False,1
bin_7_00241,576,0,0.99548805453542399,0.003472222222222222,False,2
bin_7_00242,594,2,0.99544197490402253,0.003367003367003367,False,0
bin_7_00243,1785,2,0.99449212901688355,0.00784313725490196,False,12
bin_7_00244,948,2,0.99350401101288144,0.012658227848101266,False,10
bin_7_00245,1053,0,0.99345608496990312,0.001899335232668566,False,2
bin_7_00246,786,0,0.99594107667768794,0.0,False,0
bin_7_00247,228,0,0.99581127053923379,0.0,False,0
bin_7_00249,1221,0,0.99612153686527238,0.0,False,0
bin_7_00250,1020,1,0.996063417653273,0.000980392156862745,False,0
bin_7_00252,402,0,0.99656975945045789,0.0,False,0
bin_7_00253,384,0,0.99659500255448918,0.0026041666666666665,False,1
bin_7_00254,171,0,0.99626994109032629,0.0,False,0
bin_7_00257,684,0,0.99616567649267496,0.0029239766081871343,False,2
bin_7_00258,705,1,0.99610118830009919,0.005673758865248227,False,3
bin_7_00259,579,8,0.99105194337698732,0.022452504317789293,False,5
bin_7_00260,1569,4,0.99335231813903335,0.022944550669216062,False,32
bin_7_00261,894,2,0.99209229038692615,0.0436241610738255,False,37
bin_7_00262,828,0,0.99404245334585173,0.01932367149758454,False,16
bin_7_00263,423,1,0.99500573112699986,0.018912529550827423,False,7
bin_7_00264,432,0,0.9966786268714779,0.0023148148148148147,False,1
bin_7_00265,1638,4,0.99423145778048327,0.018925518925518924,False,27
bin_7_00266,1488,2,0.99475764227915231,0.010080645161290322,False,13
bin_7_00267,1134,0,0.99619899552875557,0.0,False,0
bin_7_00268,2994,0,0.99583649796253992,0.00033400133600534405,False,1
bin_7_00269,2148,0,0.99604873091404955,0.0,False,0
bin_7_00270,1035,0,0.99571904713334158,0.002898550724637681,False,3
bin_7_00271,2025,3,0.9946529940196398,0.005432098765432099,False,8
bin_7_00272,249,0,0.99526615086484105,0.0,False,0
bin_7_00273,483,15,0.98626008307031166,0.039337474120082816,False,4
bin_7_00274,525,1,0.99498529353641996,0.013333333333333334,False,6
bin_7_00275,702,1,0.99506739653630394,0.01282051282051282,False,8
bin_7_00276,690,0,0.99647064431446253,0.0014492753623188406,False,1
bin_7_00277,1137,3,0.99478037659179086,0.006156552330694811,True,4
bin_7_00278,459,0,0.99484890296870687,0.0,False,0
bin_7_00279,159,0,0.99698362887311265,0.0,False,0
bin_7_00280,459,1,0.99397891415074568,0.002178649237472767,False,0
bin_7_00281,348,1,0.9941321226084695,0.0028735632183908046,False,0
bin_7_00282,315,6,0.98765724114395281,0.02857142857142857,False,3
bin_7_00283,654,0,0.99451283406391533,0.0,False,0
bin_7_00284,894,9,0.9926955576597335,0.0447427293064877,False,31
bin_7_00286,1860,5,0.99585424702845549,0.0032258064516129032,False,1
bin_7_00287,2967,0,0.99613831432720668,0.0,False,0
bin_7_00288,678,0,0.99591133063326509,0.0,False,0
bin_7_00289,690,2,0.99039310619015131,0.0391304347826087,False,25
bin_7_00290,312,6,0.9930181725097762,0.04487179487179487,False,8
bin_7_00291,303,2,0.98972604804820441,0.0297029702970297,False,7
bin_7_00293,294,1,0.99426082994523646,0.034013605442176874,False,9
bin_7_00294,726,6,0.98587682027924151,0.05647382920110193,False,35
bin_7_00295,1077,7,0.9806827398930642,0.07892293407613742,False,78
bin_7_00296,1314,4,0.978726487753378,0.09056316590563165,False,115
bin_7_00297,750,3,0.9857341834982315,0.03866666666666667,False,26
bin_7_00298,849,1,0.99061094278034967,0.0176678445229682,False,14
bin_7_00299,837,3,0.98969080841622104,0.023894862604540025,False,17
bin_7_00300,1386,11,0.98823263917632787,0.049062049062049064,False,57
bin_7_00301,1503,7,0.98947390111204536,0.05056553559547571,False,69
bin_7_00302,342,0,0.99543245085305654,0.0029239766081871343,False,1
bin_7_00303,507,3,0.98635288269647603,0.03944773175542406,False,17
bin_7_00304,618,5,0.99261839404358476,0.011326860841423949,False,2
bin_7_00305,657,5,0.98639033413090604,0.0213089802130898,False,9
bin_7_00306,936,3,0.98006439866009409,0.050213675213675216,False,44
bin_7_00307,741,1,0.97640167576845383,0.043184885290148446,False,31
bin_7_00308,660,2,0.98381314484184357,0.05909090909090909,False,37
bin_7_00309,2313,1,0.99480570851699845,0.0008646779074794639,False,1
bin_7_00310,294,2,0.97682440121832992,0.07142857142857142,True,19
bin_7_00311,1431,14,0.98797835091070263,0.0286512928022362,False,27
bin_7_00312,444,5,0.97156920086137388,0.07657657657657657,False,29
bin_7_00313,498,1,0.9920688854773404,0.0321285140562249,False,15
bin_7_00314,519,0,0.9942263032337687,0.011560693641618497,False,6
bin_7_00315,315,1,0.99475226654352422,0.015873015873015872,False,4
bin_7_00316,1275,1,0.99602501956716627,0.00392156862745098,False,4
bin_7_00317,627,0,0.98836491118446446,0.022328548644338118,False,14
bin_7_00318,675,1,0.99043139629622112,0.013333333333333334,False,8
bin_7_00319,1353,3,0.98525279658615772,0.038433111603843315,False,49
bin_7_00320,999,1,0.98939981590643611,0.02902902902902903,False,28
bin_7_00321,798,0,0.98321157242089419,0.05639097744360902,False,45
bin_7_00322,894,1,0.9769219681008916,0.0447427293064877,False,39
bin_7_00323,168,2,0.97304988836801731,0.047619047619047616,False,6
bin_7_00324,570,0,0.99440627533333259,0.0,False,0
bin_7_00325,1851,0,0.99624585735885507,0.0,False,0
bin_7_00326,507,0,0.99440144722134993,0.0,False,0
bin_7_00327,465,0,0.99619225849790849,0.0,False,0
bin_7_00328,897,0,0.99439580064368727,0.0,False,0
bin_7_00329,354,0,0.9949044927657017,0.011299435028248588,False,4
bin_7_00330,819,1,0.99046252561599346,0.014652014652014652,False,11
bin_7_00331,1266,6,0.98440314674482898,0.04265402843601896,False,48
bin_7_00332,1233,9,0.97552956869443641,0.07218167072181671,False,80
bin_7_00333,645,3,0.99172965007820524,0.010852713178294573,False,4
bin_7_00334,1230,1,0.9834176955817866,0.03414634146341464,False,41
bin_7_00335,855,14,0.98976666426417914,0.017543859649122806,True,1
bin_7_00336,297,0,0.99621722345996178,0.0,False,0
bin_7_00337,417,0,0.99510864351053196,0.0,False,0
bin_7_00338,663,0,0.99549611732991328,0.0,False,0
bin_7_00339,336,0,0.99594577379393978,0.0,False,0
bin_7_00340,297,0,0.99559771352662108,0.0,False,0
bin_7_00342,441,0,0.99589837233117229,0.0,False,0
bin_7_00343,585,7,0.99224929636279646,0.017094017094017096,False,3
bin_7_00344,444,0,0.99552534538242943,0.0,False,0
bin_7_00345,633,0,0.9965448810528903,0.0,False,0
bin_7_00346,660,1,0.99496251520782508,0.0015151515151515152,False,0
bin_7_00347,648,0,0.99536834353108816,0.0,False,0
bin_7_00349,2670,0,0.99612435902703755,0.0,False,0
bin_7_00350,1929,11,0.98631752697451769,0.03006739243131156,False,47
bin_7_00351,840,2,0.99077249251868693,0.017857142857142856,False,13
bin_7_00352,1281,4,0.98283284122222747,0.0468384074941452,False,56
bin_7_00353,624,3,0.9865778810026975,0.02564102564102564,False,13
bin_7_00354,522,8,0.98024652272010038,0.03639846743295019,False,11
bin_7_00355,159,0,0.99652009032572597,0.0,False,0
bin_7_00356,1137,4,0.99519177012840077,0.013192612137203167,False,11
bin_7_00357,576,0,0.99544443205279443,0.0,False,0
bin_7_00358,594,0,0.99563892581001479,0.0,False,0
bin_7_00359,1785,0,0.99488684645654302,0.0011204481792717086,False,2
bin_7_00360,948,0,0.9936916267757443,0.016877637130801686,False,16
bin_7_00361,1422,1,0.99542720427123244,0.0007032348804500703,False,0
bin_7_00362,1053,2,0.99370846312048311,0.011396011396011397,False,10
bin_7_00363,693,0,0.98928808233670407,0.017316017316017316,False,12
bin_7_00364,675,2,0.97756826623414439,0.04888888888888889,False,31
bin_7_00365,651,0,0.98053965486841899,0.03686635944700461,False,24
bin_7_00366,543,0,0.99485420614581588,0.001841620626151013,False,1
bin_7_00367,1089,3,0.98612988425534276,0.02662993572084481,False,26
bin_7_00368,1194,4,0.9884267588891511,0.017587939698492462,False,17
bin_7_00369,1650,8,0.98186685280460895,0.041212121212121214,False,60
bin_7_00370,1392,3,0.98093977336009619,0.04669540229885057,False,62
bin_7_00371,231,0,0.98351598667910944,0.03463203463203463,False,8
bin_7_00372,618,5,0.99475465165723198,0.01779935275080906,False,6
bin_7_00373,381,10,0.98669947111041623,0.028871391076115485,False,1
bin_7_00374,507,13,0.98509223062386531,0.06903353057199212,False,22
bin_7_00375,291,0,0.99403184605719896,0.027491408934707903,False,8
bin_7_00376,744,3,0.99420151714691218,0.009408602150537635,False,4
bin_7_00377,444,1,0.99469450284613736,0.0022522522522522522,False,0
bin_7_00378,1359,0,0.99552936367038192,0.0,False,0
bin_7_00379,552,0,0.99570848957043079,0.0,False,0
bin_7_00380,567,0,0.99608916362507527,0.0,False,0
bin_7_00381,561,0,0.99569532548630368,0.0,False,0
bin_7_00382,837,1,0.9954365592530211,0.0023894862604540022,False,1
bin_7_00383,849,0,0.99517613712864939,0.0,False,0
bin_7_00384,750,0,0.99651382055753324,0.0,False,0
bin_7_00385,1077,26,0.98701658906624179,0.04085422469823584,False,18
bin_7_00386,726,0,0.99347840140880439,0.013774104683195593,False,10
bin_7_00387,417,7,0.98844165496879333,0.0407673860911271,False,10
bin_7_00391,606,0,0.99141306728577461,0.0297029702970297,False,18
bin_7_00392,2736,16,0.99394044132213899,0.017909356725146198,False,33
bin_7_00393,1719,12,0.99027892155414798,0.0477021524141943,False,70
bin_7_00394,882,7,0.9939794213098786,0.015873015873015872,False,7
bin_7_00395,834,0,0.9946192769345189,0.005995203836930456,False,5
bin_7_00396,1038,0,0.99525864224882443,0.0,False,0
bin_7_00397,474,0,0.99603197798795207,0.0,False,0
bin_7_00398,483,0,0.99600762768890638,0.0,False,0
bin_7_00399,1197,4,0.98848759813321196,0.02172096908939014,False,22
bin_7_00400,1140,11,0.97860505536200471,0.04649122807017544,False,42
bin_7_00402,849,5,0.97880262992782996,0.05535924617196702,False,42
bin_7_00403,564,1,0.98156597722592664,0.04609929078014184,False,25
bin_7_00404,717,0,0.98984003329438786,0.016736401673640166,False,12
bin_7_00405,792,4,0.99091477512800052,0.050505050505050504,False,36
bin_7_00406,1650,1,0.99494673247325516,0.006060606060606061,False,9
bin_7_00407,1206,0,0.99520927479686616,0.008291873963515755,False,10
bin_7_00410,921,0,0.99546234431217362,0.004343105320304018,False,4
bin_7_00411,891,1,0.99582881146556845,0.001122334455667789,False,0
bin_7_00412,1914,2,0.99531580863481584,0.009404388714733543,False,16
bin_7_00413,444,3,0.98556930646459662,0.02927927927927928,False,10
bin_7_00414,792,5,0.98405559798164377,0.02904040404040404,False,18
bin_7_00415,1341,7,0.98599819069673067,0.029082774049217,False,32
bin_7_00417,552,1,0.98693359666502112,0.021739130434782608,False,11
bin_7_00418,216,4,0.98248657936676931,0.032407407407407406,False,3
bin_7_00419,1263,11,0.99341542642714009,0.013460015835312747,False,6
bin_7_00420,1536,0,0.99583427458362117,0.0,False,0
bin_7_00421,2025,6,0.9894233322019701,0.027160493827160494,False,49
bin_7_00422,462,0,0.9940896262521095,0.0,False,0
bin_7_00423,129,0,0.99718108748716217,0.0,False,0
bin_7_00424,1362,0,0.99702028046168756,0.0,False,0
bin_7_00425,723,0,0.99671187074630652,0.0,False,0
bin_7_00426,528,0,0.99670167929802123,0.0,False,0
bin_7_00427,1269,0,0.99703657862054285,0.0,False,0
bin_7_00428,351,0,0.9965598915307432,0.0,False,0
bin_7_00429,795,0,0.99662452580901528,0.0,False,0
bin_7_00430,2652,0,0.9969894102898077,0.0,False,0
bin_7_00431,1917,0,0.99703475717684664,0.0,False,0
bin_7_00432,687,4,0.99362962466964777,0.010189228529839884,False,3
bin_7_00433,1413,4,0.99421548382954483,0.006369426751592357,False,5
bin_7_00434,519,0,0.9962406859641888,0.0,False,0
bin_7_00435,1005,2,0.99492688564956044,0.006965174129353234,False,5
bin_7_00436,1080,0,0.99354642556208728,0.012037037037037037,False,13
bin_7_00437,183,0,0.99737335656798265,0.0,False,0
bin_7_00439,1359,1,0.99564131093880825,0.0007358351729212656,False,0
bin_7_00440,165,0,0.99600378354295738,0.0,False,0
bin_7_00441,771,3,0.99434133529107194,0.0038910505836575876,False,0
bin_7_00442,1146,0,0.99643350169583977,0.0,False,0
bin_7_00443,681,19,0.98886274251476114,0.033773861967694566,False,4
bin_7_00444,1575,0,0.99594206101351557,0.0006349206349206349,False,1
bin_7_00445,810,0,0.99636217946602579,0.0,False,0
bin_7_00446,858,9,0.99314862250837266,0.01048951048951049,True,0
bin_7_00447,1098,0,0.99651034066423227,0.0,False,0
bin_7_00448,972,2,0.99531968535915716,0.00205761316872428,False,0
bin_7_00449,966,0,0.99534211732607114,0.0,False,0
bin_7_00450,291,13,0.98136849519401126,0.061855670103092786,True,5
bin_7_00451,885,0,0.99640698246973836,0.0,False,0
bin_7_00452,1017,7,0.99399351828299864,0.00983284169124877,True,3
bin_7_00453,1047,0,0.99599836713878087,0.0,False,0
bin_7_00454,867,1,0.99619802333882157,0.0011534025374855825,False,0
bin_7_00455,438,0,0.99643870586520511,0.0,False,0
bin_7_00456,390,0,0.99615127094063383,0.0,False,0
bin_7_00457,1602,0,0.99643735658827337,0.0,False,0
